dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.519863,1.682818,1.132216,1.207791,0.213504,-0.818295,3.986136
0.020000,6.503748,1.664718,1.156450,1.211721,0.196477,-0.851353,3.983861
0.020000,6.487551,1.646595,1.180756,1.215283,0.178140,-0.916874,3.982407
0.020000,6.471414,1.628575,1.204946,1.209493,-0.289514,-23.382665,3.981804
0.020000,6.455548,1.610866,1.228722,1.188815,-1.033896,-37.219106,3.982054
0.020000,6.440045,1.593537,1.251974,1.162589,-1.311319,-13.871183,3.983132
0.020000,6.424911,1.576571,1.274709,1.136761,-1.291385,0.996743,3.985008
0.020000,6.410153,1.559951,1.296935,1.111303,-1.272887,0.924879,3.987655
0.020000,6.395778,1.543664,1.318659,1.086197,-1.255338,0.877446,3.991049
0.020000,6.381791,1.527695,1.339888,1.061418,-1.238951,0.819365,3.995165
0.020000,6.368196,1.512033,1.360627,1.036952,-1.223267,0.784180,3.999980
0.020000,6.354997,1.496669,1.380882,1.012787,-1.208254,0.750637,4.005473
0.020000,6.342196,1.481591,1.400661,0.988912,-1.193779,0.723755,4.011622
0.020000,6.329796,1.466793,1.419967,0.965317,-1.179708,0.703559,4.018407
0.020000,6.317799,1.452267,1.438807,0.942006,-1.165573,0.706745,4.025808
0.020000,6.306204,1.438007,1.457186,0.918965,-1.152050,0.676144,4.033805
0.020000,6.295013,1.424006,1.475110,0.896206,-1.137940,0.705503,4.042377
0.020000,6.284223,1.410260,1.492585,0.873726,-1.124021,0.695947,4.051504
0.020000,6.273833,1.396766,1.509616,0.851531,-1.109747,0.713737,4.061165
0.020000,6.263842,1.383519,1.526208,0.829629,-1.095086,0.733046,4.071339
0.020000,6.254246,1.370516,1.542369,0.808031,-1.079921,0.758218,4.082004
0.020000,6.245041,1.357754,1.558104,0.786747,-1.064205,0.785791,4.093138
0.020000,6.236223,1.345232,1.573419,0.765784,-1.048143,0.803134,4.104715
0.020000,6.227786,1.332946,1.588323,0.745164,-1.030995,0.857384,4.116713
0.020000,6.219726,1.320896,1.602820,0.724893,-1.013553,0.872114,4.129105
0.020000,6.212035,1.309078,1.616920,0.704988,-0.995254,0.914945,4.141864
0.020000,6.204706,1.297493,1.630629,0.685462,-0.976260,0.949708,4.154964
0.020000,6.197731,1.286137,1.643956,0.666330,-0.956619,0.982027,4.168376
0.020000,6.191103,1.275009,1.656908,0.647605,-0.936263,1.017796,4.182069
0.020000,6.184812,1.264108,1.669494,0.629296,-0.915437,1.041300,4.196014
0.020000,6.178850,1.253432,1.681722,0.611416,-0.894026,1.070573,4.210179
0.020000,6.173206,1.242979,1.693602,0.593971,-0.872235,1.089549,4.224534
0.020000,6.167870,1.232747,1.705141,0.576969,-0.850084,1.107536,4.239044
0.020000,6.162834,1.222734,1.716349,0.560414,-0.827750,1.116724,4.253680
0.020000,6.158085,1.212938,1.727236,0.544308,-0.805323,1.121328,4.268406
0.020000,6.153614,1.203357,1.737809,0.528649,-0.782929,1.119690,4.283192
0.020000,6.149409,1.193989,1.748077,0.513434,-0.760776,1.107680,4.298004
0.020000,6.145461,1.184831,1.758050,0.498656,-0.738858,1.095902,4.312811
0.020000,6.141759,1.175880,1.767737,0.484308,-0.717407,1.072557,4.327581
0.020000,6.138291,1.167135,1.777144,0.470377,-0.696554,1.042611,4.342285
0.020000,6.135048,1.158593,1.786281,0.456850,-0.676342,1.010603,4.356893
0.020000,6.132020,1.150251,1.795155,0.443711,-0.656963,0.968956,4.371377
0.020000,6.129195,1.142108,1.803774,0.430940,-0.638572,0.919554,4.385709
0.020000,6.126565,1.134162,1.812145,0.418521,-0.620955,0.880844,4.399865
0.020000,6.124120,1.126410,1.820273,0.406431,-0.604460,0.824784,4.413820
0.020000,6.121850,1.118850,1.828166,0.394649,-0.589132,0.766380,4.427552
0.020000,6.119746,1.111482,1.835829,0.383152,-0.574826,0.715312,4.441041
0.020000,6.117800,1.104302,1.843268,0.371920,-0.561603,0.661148,4.454267
0.020000,6.116003,1.097311,1.850486,0.360918,-0.550084,0.575914,4.467212
0.020000,6.114346,1.090507,1.857489,0.350142,-0.538803,0.564063,4.479862
0.020000,6.112822,1.083889,1.864280,0.339558,-0.529243,0.477991,4.492202
0.020000,6.111422,1.077457,1.870863,0.329142,-0.520756,0.424370,4.504219
0.020000,6.110141,1.071209,1.877240,0.318879,-0.513161,0.379745,4.515902
0.020000,6.108970,1.065147,1.883415,0.308752,-0.506363,0.339881,4.527243
0.020000,6.107902,1.059268,1.889390,0.298723,-0.501441,0.246105,4.538233
0.020000,6.106931,1.053574,1.895166,0.288803,-0.495987,0.272722,4.548864
0.020000,6.106051,1.048065,1.900745,0.278954,-0.492462,0.176234,4.559133
0.020000,6.105256,1.042741,1.906128,0.269163,-0.489540,0.146131,4.569033
0.020000,6.104539,1.037602,1.911317,0.259421,-0.487115,0.121222,4.578561
0.020000,6.103895,1.032649,1.916311,0.249719,-0.485086,0.101464,4.587715
0.020000,6.103319,1.027883,1.921112,0.240046,-0.483670,0.070793,4.596494
0.020000,6.102806,1.023304,1.925719,0.230373,-0.483669,0.000061,4.604895
0.020000,6.102350,1.018914,1.930134,0.220713,-0.482967,0.035085,4.612920
0.020000,6.101947,1.014712,1.934355,0.211052,-0.483045,-0.003894,4.620567
0.020000,6.101592,1.010700,1.938382,0.201381,-0.483552,-0.025367,4.627837
0.020000,6.101281,1.006879,1.942216,0.191699,-0.484091,-0.026952,4.634733
0.020000,6.101011,1.003249,1.945856,0.181985,-0.485735,-0.082196,4.641254
0.020000,6.100777,0.999812,1.949301,0.172265,-0.486004,-0.013449,4.647403
0.020000,6.100575,0.996568,1.952551,0.162503,-0.488104,-0.104980,4.653181
0.020000,6.100402,0.993518,1.955606,0.152726,-0.488806,-0.035115,4.658591
0.020000,6.100256,0.990664,1.958464,0.142916,-0.490497,-0.084535,4.663634
0.020000,6.100133,0.988005,1.961126,0.133077,-0.491980,-0.074149,4.668313
0.020000,6.100029,0.985543,1.963590,0.123213,-0.493210,-0.061529,4.672630
0.020000,6.099944,0.983278,1.965856,0.113307,-0.495296,-0.104270,4.676587
0.020000,6.099873,0.981212,1.967924,0.103385,-0.496063,-0.038365,4.680186
0.020000,6.099816,0.979344,1.969792,0.093424,-0.498072,-0.100460,4.683429
0.020000,6.099770,0.977676,1.971461,0.083450,-0.498709,-0.031825,4.686318
0.020000,6.099734,0.976208,1.972930,0.073447,-0.500153,-0.072201,4.688855
0.020000,6.099705,0.974939,1.974199,0.063422,-0.501234,-0.054078,4.691040
0.020000,6.099684,0.973872,1.975266,0.053383,-0.501934,-0.034996,4.692877
0.020000,6.099667,0.973006,1.976133,0.043321,-0.503114,-0.058972,4.694364
0.020000,6.099656,0.972341,1.976798,0.033247,-0.503709,-0.029750,4.695505
0.020000,6.099648,0.971878,1.977261,0.023164,-0.504172,-0.023168,4.696299
0.020000,6.099644,0.971616,1.977523,0.013079,-0.504242,-0.003483,4.696747
0.020000,6.099643,0.971536,1.977603,0.004016,-0.453124,2.555908,4.696884
0.020000,6.099643,0.971536,1.977603,0.000000,-0.200811,12.615612,4.696884
0.020000,6.099643,0.971536,1.977603,0.000000,0.000000,10.040567,4.696884
